SPECIES,HUC12,FREQUENCY,Habitat_Miles
Arctic grayling,170102060306,1,1
Arctic grayling,170102060312,1,6
Arctic grayling,170102060408,5,13
Arctic grayling,170102060412,2,23
Arctic grayling,170102060509,1,8
Arctic grayling,170102060607,1,0
Arctic grayling,170102090505,1,10
Arctic grayling,170102090509,1,7
Arctic grayling,170102090602,3,3
Arctic grayling,170102090603,3,2
Arctic grayling,170102090606,2,7
Black bullhead,170102040205,1,1
Black bullhead,170102080205,3,12
Black bullhead,170102080208,1,9
Black bullhead,170102130514,3,0
Black bullhead,170102130902,4,5
Bluegill,170102031108,1,1
Brook trout,170101010701,7,21
Brook trout,170101010702,9,18
Brook trout,170101010703,7,15
Brook trout,170101010704,8,23
Brook trout,170101010705,3,9
Brook trout,170101010706,1,0
Brook trout,170101010707,12,43
Brook trout,170101010802,6,11
Brook trout,170101010803,7,16
Brook trout,170101010804,1,10
Brook trout,170101010805,1,0
Brook trout,170101010806,3,14
Brook trout,170101010902,10,11
Brook trout,170101010904,2,9
Brook trout,170101010906,2,9
Brook trout,170101010907,3,15
Brook trout,170101010908,4,0
Brook trout,170101011001,1,0
Brook trout,170101011002,3,18
Brook trout,170101011003,6,15
Brook trout,170101011102,2,1
Brook trout,170101011103,1,7
Brook trout,170101011104,3,1
Brook trout,170101011201,2,8
Brook trout,170101011202,6,7
Brook trout,170101011203,2,7
Brook trout,170101011204,3,7
Brook trout,170101011205,4,13
Brook trout,170101011206,3,7
Brook trout,170101011207,3,8
Brook trout,170101011208,10,5
Brook trout,170101011209,4,12
Brook trout,170101011211,14,18
Brook trout,170101011301,16,14
Brook trout,170101011303,1,0
Brook trout,170101011304,8,25
Brook trout,170101011305,5,14
Brook trout,170101011401,3,3
Brook trout,170101011402,9,15
Brook trout,170101011403,7,15
Brook trout,170101011501,6,16
Brook trout,170101011502,4,8
Brook trout,170101011503,3,11
Brook trout,170101011504,5,11
Brook trout,170101011505,11,12
Brook trout,170101011601,2,2
Brook trout,170101011602,3,6
Brook trout,170101011603,8,16
Brook trout,170101011604,4,9
Brook trout,170101011605,17,26
Brook trout,170101011701,5,22
Brook trout,170101011704,3,5
Brook trout,170101011705,3,4
Brook trout,170101011707,14,17
Brook trout,170101020103,1,0
Brook trout,170101020104,2,2
Brook trout,170101020105,13,27
Brook trout,170101020106,4,8
Brook trout,170101020107,5,13
Brook trout,170101020108,7,13
Brook trout,170101020201,6,15
Brook trout,170101020202,13,18
Brook trout,170101020301,1,0
Brook trout,170101020302,4,14
Brook trout,170101020303,2,2
Brook trout,170101020304,5,11
Brook trout,170101020305,4,7
Brook trout,170101020306,6,24
Brook trout,170101020401,17,17
Brook trout,170101020402,8,17
Brook trout,170101020403,1,1
Brook trout,170101020404,1,2
Brook trout,170101020405,4,15
Brook trout,170101020406,6,12
Brook trout,170101030102,3,3
Brook trout,170101030202,1,8
Brook trout,170101030203,7,9
Brook trout,170101030304,1,4
Brook trout,170101030305,7,19
Brook trout,170101030306,1,14
Brook trout,170101030401,2,10
Brook trout,170101030402,4,12
Brook trout,170101030403,1,0
