FID_Tribal,HUC12
34,171002040801
34,170900080203
35,171003010602
35,171003010901
35,171003030101
35,171003030102
35,171003030301
35,170900020101
35,170900020301
35,170900020302
35,170900020303
35,170900020306
36,171003010202
36,170703020201
38,180102010201
38,180102010202
38,180102010203
38,180102010204
38,180102010401
38,170703010101
38,170703010102
38,170703010103
38,170703010104
38,170703010105
38,170703010106
38,170703010107
38,170703010108
38,170703010109
38,170703010201
38,170703010202
38,170703010203
38,170703010204
38,170703010205
38,170703010206
38,170703010207
38,170703010301
38,170703010302
38,170703010303
38,170703010304
38,170703010305
38,170703010306
38,170703010401
38,170703010402
38,170703010403
38,170703010404
38,170703010405
38,170703010406
38,170703010501
38,170703010801
38,171003010201
38,171003010202
38,170703010805
38,170703020101
38,170703020102
38,170703020103
38,170703020104
38,170703020105
38,170703020106
38,170703020201
38,170703020202
38,170703020203
38,170703020204
38,170703020205
38,170703020206
38,170703020207
38,170703020301
38,170703020302
38,170703020303
38,170703020401
38,170703020402
38,170703020403
38,170703020404
38,170703020501
38,170900010101
38,170703020502
38,170703020503
38,170703020504
38,170703020505
38,170703020506
38,170703020601
38,170703020602
38,170703020603
38,170703020604
38,170703020605
38,170703020606
38,170703020607
38,170703020608
38,170703020609
38,170703020701
38,170703020702
38,170703020703
38,170703020704
38,170703020705
38,170703020706
38,170703030101
38,170703030102
38,170900010104
38,170900010201
38,170900010301
38,170900010302
38,170900010401
38,170900010402
38,170900010601
38,170900010602
38,170900010603
38,170703030103
38,170703030104
38,170703030105
38,170703030106
38,170703030201
38,170703030202
38,170703030203
38,170703030204
38,170703030205
38,170703030206
38,170703030207
38,170703030304
38,170703030405
38,170703031001
38,170703031002
38,170703031003
38,170703031004
38,170703031005
38,170703031006
38,170703031007
38,170703031008
38,170703031009
38,170703040101
38,170703040102
38,170703040103
38,170703040104
38,170703040105
38,170703040701
38,170703040702
38,170703040703
38,170703040704
38,170703040705
38,170703040706
38,170900040103
38,170900040301
38,170900040302
38,171200050101
38,171200050102
38,170703050601
38,170703050602
38,170703050603
38,170703050604
38,170703050605
38,170703050606
38,170703050701
38,170703050702
38,170703050703
38,170703050704
38,170703050705
38,170703050706
38,170703050707
38,170703050708
38,170703050709
38,170703050710
38,170703050711
38,170703050801
38,170703050803
38,170703050804
38,170703050805
38,170703050901
38,171200050401
38,171200050501
38,171200050503
38,171200050504
38,171200050505
38,171200050801
38,171200050802
38,171200050901
38,171200051501
38,171200051502
38,171200051503
38,171200051505
38,171200051506
38,170702010102
49,170702010102
38,170702010103
49,170702010103
38,170702010104
49,170702010104
38,170702010106
49,170702010106
38,171200020403
49,171200020403
38,171200020501
49,171200020501
38,171200020502
49,171200020502
38,171200020506
49,171200020506
38,171200020507
49,171200020507
38,171200020509
49,171200020509
38,170703030205
49,170703030205
38,170703030207
49,170703030207
38,170703030301
49,170703030301
38,170703030302
49,170703030302
38,170703030303
49,170703030303
38,170703030304
49,170703030304
38,170703030401
49,170703030401
38,170703030402
49,170703030402
38,170703030403
49,170703030403
38,170703030404
49,170703030404
38,170703030405
49,170703030405
38,170703030501
49,170703030501
38,170703030502
49,170703030502
38,170703030503
49,170703030503
38,170703030601
49,170703030601
38,170703030602
49,170703030602
38,170703030603
49,170703030603
38,170703030903
49,170703030903
38,170703031002
49,170703031002
38,170703031003
49,170703031003
38,170703031004
49,170703031004
38,170703031006
49,170703031006
38,171200040201
49,171200040201
38,171200040202
49,171200040202
38,171200040204
49,171200040204
38,171200040205
49,171200040205
38,171200040303
49,171200040303
38,170703031008
49,170703031008
38,171200040304
49,171200040304
38,171200040401
49,171200040401
38,171200040402
49,171200040402
38,171200051505
49,171200051505
39,170501160204
47,170501160204
49,170501160204
39,170501160301
47,170501160301
49,170501160301
39,170501160302
47,170501160302
49,170501160302
39,171200010201
47,171200010201
49,171200010201
39,171200020304
47,171200020304
49,171200020304
39,171200020305
47,171200020305
49,171200020305
39,171200020307
47,171200020307
49,171200020307
18,100800130101
18,100800010205
18,100800010206
18,100800010201
18,100800010202
18,100800010210
18,170401010502
18,170401010503
18,170401020103
19,170200090104
19,170200090105
19,170200090107
19,170200090108
19,170300010301
19,170300010302
19,170300010304
19,170300020101
19,171100050801
19,171100050802
19,171100060203
19,171100060204
19,171100100301
19,171100120101
19,171100130102
19,171100130103
20,171100140301
20,171100150104
20,170800040102
20,170800040103
20,170800040203
20,170800040204
22,170601070808
22,170601080505
22,170601080506
22,170601080707
22,170601080803
22,170601080804
22,170601080805
22,170601080806
22,170601100102
22,170601100103
22,170601100106
22,170601100201
22,170601100202
22,170601100301
22,170601100302
22,170601100303
22,170601100401
22,170601100403
22,170601100404
22,170701050101
22,170701050102
22,170200160501
22,170200160503
22,170200160504
22,170200160505
22,170200160506
22,170200160507
22,170200160601
22,170200160602
22,170200160604
22,170300030201
22,170300030202
22,170300030501
22,170300030502
22,170300030503
22,170300030504
22,170300030505
22,170300030506
22,170300030602
22,170300030701
22,170300030702
22,170300030704
22,170300030801
22,170300030805
22,170300030901
22,170300030902
22,170300030903
22,170300030904
22,170300030905
22,170300030906
22,170300031002
22,170300031003
22,170300031004
22,170300031005
22,170300031006
22,170300031007
22,170300031101
22,170300031102
22,170300031103
22,170300031104
22,170300031105
22,170300031106
22,170300031107
22,170300031108
22,170300031109
22,170300031201
22,170300031202
22,170300031203
22,170300031205
22,170200160108
22,170200160202
22,170200160203
22,170200160204
22,170200160205
22,170200160206
22,170200160304
22,170200160305
22,170200160306
22,170200160401
22,170200160402
22,170200160403
22,170200160404
22,170200160405
22,170200160406
22,170200160407
22,170200160408
22,170200160409
22,170200160410
22,170701010904
22,170701010905
22,170701011401
22,170701011403
22,170701011405
22,170701011407
22,170701011408
22,170701050103
22,170701050401
22,170701050406
22,170701050905
22,170701051105
22,170701051106
22,170701010501
22,170701010502
22,170701010503
22,170701010505
22,170701010506
22,170701010507
22,170701010508
22,170701010509
22,170701010510
22,170701010511
22,170701010901
22,170701010902
22,170701010903
22,170701011001
22,170701011002
22,170701011003
22,170701011004
22,170701011005
22,170701011006
22,170701011007
22,170701011101
22,170701011102
22,170701011201
22,170701011202
22,170701011203
22,170701011301
22,170701011302
22,170701011303
22,170701011304
22,170701011305
22,170701011306
22,170701011307
22,170701011404
22,170701050801
22,170701050802
22,170701050803
22,170701050804
22,170701050805
22,170701050806
22,170701050807
22,170701050808
22,170701050809
22,170701050810
22,170701050811
22,170701050901
22,170701050902
22,170701050903
22,170701050904
22,170701051001
22,170701051002
22,170701051007
22,170701051008
22,170701051101
22,170701060104
22,170701060105
22,170701060106
22,170701060107
22,170701060108
22,170701060201
22,170701060202
22,170702041403
