:START_ID(Reach),:END_ID(Reach),:Type
160402010108,160402010109,Downstream
160402010109,160402010409,Downstream
160402010302,160402010304,Downstream
160402010304,160402010409,Downstream
160401011001,160401011002,Downstream
160401011002,160401011004,Downstream
160401011003,160401011004,Downstream
160401020101,160401020102,Downstream
160401020102,160401020104,Downstream
160401020103,160401020104,Downstream
160401020205,160401020207,Downstream
160401020207,160401020209,Downstream
160401020208,160401020209,Downstream
160401060101,160401060103,Downstream
160401060102,160401060103,Downstream
160401060201,160401060203,Downstream
160401060202,160401060203,Downstream
160401060203,160401060204,Downstream
160401060204,160401060404,Downstream
160401090103,160401090105,Downstream
160401090105,160401090107,Downstream
160401090107,160401090109,Downstream
160401090108,160401090109,Downstream
160401090301,160401090302,Downstream
160401090303,160401090305,Downstream
160401090305,160401090307,Downstream
160402010301,160402010302,Downstream
160402010101,160402010102,Downstream
160402010102,160402010103,Downstream
160402010107,160402010109,Downstream
180102010201,180102010204,Downstream
180102010202,180102010208,Downstream
180102010203,180102010208,Downstream
180102010204,180102010208,Downstream
180102010401,180102010403,Downstream
170501021401,170501021402,Downstream
170501021402,170501021406,Downstream
170501021501,170501021502,Downstream
170501021502,170501021503,Downstream
170501140507,170501140803,Downstream
170501140601,170501140602,Downstream
170501140602,170501140801,Downstream
170501140701,170501140702,Downstream
170501140702,170501140703,Downstream
170501140703,170501140704,Downstream
170501140704,170501150102,Downstream
170501140801,170501140802,Downstream
170501140802,170501140803,Downstream
170501140803,170501150102,Downstream
170501150202,170501150204,Downstream
170501060302,170501060604,Downstream
170501060401,170501060402,Downstream
170501060402,170501060405,Downstream
170501060404,170501060405,Downstream
170501060601,170501060603,Downstream
170501060602,170501060603,Downstream
170501060603,170501060604,Downstream
170501060403,170501060405,Downstream
170501030901,170501030902,Downstream
170501030902,170501030903,Downstream
170501030904,170501030905,Downstream
170501030905,170501030907,Downstream
170501031101,170501031103,Downstream
170501060502,170501060504,Downstream
170501070101,170501070103,Downstream
170501070103,170501070108,Downstream
170501070104,170501070106,Downstream
170501070105,170501070106,Downstream
170501070106,170501070107,Downstream
170501070107,170501070108,Downstream
170501030101,170501030103,Downstream
170501030102,170501030105,Downstream
170501030103,170501030105,Downstream
170501030203,170501030204,Downstream
170501030207,170501030208,Downstream
170501030208,170501030209,Downstream
170501030301,170501030303,Downstream
170501030302,170501030303,Downstream
170501030303,170501030304,Downstream
170501030304,170501030308,Downstream
170501030305,170501030309,Downstream
170501030306,170501030309,Downstream
170501030307,170501030309,Downstream
170501030308,170501030309,Downstream
170501030309,170501030405,Downstream
170501030404,170501030405,Downstream
170501030405,170501030406,Downstream
170501030406,170501030409,Downstream
170501030407,170501030408,Downstream
170501030408,170501030409,Downstream
170501030409,170501030501,Downstream
170501030501,170501030507,Downstream
170501030502,170501030507,Downstream
170501030503,170501030507,Downstream
170501030504,170501030505,Downstream
170501030505,170501030507,Downstream
170501030506,170501030507,Downstream
170501030507,170501030704,Downstream
170501030601,170501030602,Downstream
170501030602,170501030604,Downstream
170501030603,170501030604,Downstream
170501030604,170501030704,Downstream
170501030701,170501030704,Downstream
170501030702,170501030703,Downstream
170501030703,170501030704,Downstream
170501030704,170501031004,Downstream
170501030801,170501030802,Downstream
170501220705,170501220706,Downstream
170501220706,170501220904,Downstream
170501220805,170501220806,Downstream
170501220806,170501220904,Downstream
170501220901,170501220903,Downstream
170501220902,170501220903,Downstream
170501220903,170501220904,Downstream
170501220904,170501220905,Downstream
170501220905,170501150204,Downstream
170501070108,170501070503,Downstream
170501070201,170501070205,Downstream
170501070202,170501070204,Downstream
170501070203,170501070204,Downstream
170702010502,170702010504,Downstream
170702010503,170702010504,Downstream
170702010504,170702010505,Downstream
170702010505,170702010601,Downstream
170702010601,170702010604,Downstream
170702010602,170702010604,Downstream
170702010603,170702010604,Downstream
170702010604,170702010606,Downstream
170702010605,170702010606,Downstream
170702010606,170702010608,Downstream
170702010607,170702010608,Downstream
170702010608,170702010902,Downstream
170702010701,170702010703,Downstream
170702010702,170702010703,Downstream
170702010703,170702010704,Downstream
170702010704,170702010902,Downstream
170702010801,170702010803,Downstream
170702010802,170702010803,Downstream
170702010803,170702010904,Downstream
170702010901,170702010902,Downstream
170702010902,170702010904,Downstream
170702010903,170702010906,Downstream
170702010904,170702010906,Downstream
170702010905,170702010906,Downstream
170702010906,170702011001,Downstream
170702011001,170702011004,Downstream
170702011002,170702011004,Downstream
170702011003,170702011004,Downstream
170702011004,170702011006,Downstream
170702011005,170702011006,Downstream
170702011006,170702011007,Downstream
170501080805,170501070705,Downstream
170501090101,170501090105,Downstream
170501090102,170501090104,Downstream
170501090103,170501090104,Downstream
170501090104,170501090106,Downstream
170501090105,170501090106,Downstream
170501090106,170501090506,Downstream
170501090201,170501090202,Downstream
170501090202,170501090203,Downstream
170501090203,170501090204,Downstream
170501090204,170501090506,Downstream
170501090301,170501090302,Downstream
170501090302,170501090307,Downstream
170501090303,170501090304,Downstream
170501090304,170501090307,Downstream
170501031003,170501031005,Downstream
170501031004,170501031005,Downstream
170501031005,170501031102,Downstream
170501040401,170501040402,Downstream
170501040402,170501040403,Downstream
170501040403,170501040505,Downstream
170501040501,170501040505,Downstream
170501040502,170501040504,Downstream
170501040503,170501040504,Downstream
170501040504,170501040505,Downstream
170501040505,170501040601,Downstream
170501040601,170501040604,Downstream
170501040602,170501040604,Downstream
170501040603,170501040604,Downstream
170501040703,170501040704,Downstream
170501040704,170501040705,Downstream
170501040802,170501041204,Downstream
170501040901,170501040903,Downstream
170501040902,170501040905,Downstream
170501040903,170501040905,Downstream
170501040904,170501041001,Downstream
