HUC_ID,name
160402010108,Corral Creek
160402010109,Lower Oregon Canyon Creek
160402010302,Middle East Fork Quinn River
160402010304,Lower East Fork Quinn River
160401011001,Coon Creek-Maggie Creek
160401011002,Lone Mountain Creek-Maggie Creek
160401011003,Beaver Creek
160401020101,Headwaters North Fork Humboldt River
160401020102,Fourmile Creek-North Fork Humboldt River
160401020103,Foreman Creek
160401020205,Eagle Rock Creek
160401020207,Spring Branch-Pie Creek
160401020208,Gance Creek
160401060101,Upper Willow Creek
160401060102,Nelson Creek
160401060201,Headwaters Rock Creek
160401060202,Toe Jam Creek
160401060203,Coyote Creek-Rock Creek
160401060204,Little Rock Creek-Rock Creek
160401090103,Willow Creek
160401090105,Wolf Creek-Milligan Creek
160401090107,McCleary Well Number Two-Milligan Creek
160401090108,Evans Lake
160401090301,Goosey Lake Creek
160401090303,Duck Creek-North Fork Little Humboldt River
160401090305,Greeley Flat-North Fork Little Humboldt River
160402010301,Upper East Fork Quinn River
160402010101,Butte Creek
160402010102,Blue Mountain Draw
160402010107,Tenmile Creek
180102010201,Deer Creek
180102010202,Shoestring Creek
180102010203,Lost Creek
180102010204,Miller Creek
180102010401,Upper Jack Creek
170501021401,Headwaters Big Jacks Creek
170501021402,Upper Big Jacks Creek
170501021501,Upper Little Jacks Creek
170501021502,Middle Little Jacks Creek
170501140507,Lower Indian Creek
170501140601,Kuna Butte
170501140602,Coulee Drain-Lake Lowell
170501140701,Headwaters Sand Hollow Creek
170501140702,Upper Sand Hollow Creek
170501140703,Middle Sand Hollow Creek
170501140704,Lower Sand Hollow Creek
170501140801,Golden Gate Canal
170501140802,Dixie Slough
170501140803,Outlet Boise River
170501150202,Sand Hollow
170501060302,Lower Raven Creek
170501060401,Piccolo Creek
170501060402,Upper Willow Creek
170501060404,Calico Creek
170501060601,Twin Valley Springs-Little Owyhee River
170501060602,170501060302
170501060603,Lake Creek Reservoir-Little Owyhee River
170501060403,Mahogany Creek
170501030901,Carter Creek
170501030902,Spring Creek-Succor Creek
170501030904,Board Corral Gulch-Succor Creek
170501030905,Camp Kettle Creek-Succor Creek
170501031101,Alkali Creek
170501060502,Middle Tent Creek
170501070101,Upper Toppin Creek
170501070103,Lower Toppin Creek
170501070104,Jack Creek
170501070105,Headwaters West Little Owyhee River
170501070106,Upper West Little Owyhee River
170501070107,Middle West Little Owyhee River
170501030101,Upper Shoofly Creek
170501030102,Poison Creek
170501030103,Middle Shoofly Creek
170501030203,Upper Vinson Wash
170501030207,McKeeth Wash
170501030208,Birch Creek
170501030301,South Fork Castle Creek
170501030302,North Fork Castle Creek
170501030303,Alder Creek-Castle Creek
170501030304,Hogpen Gulch-Castle Creek
170501030305,Pickett Creek
170501030306,Hart Creek
170501030307,Brown Creek
170501030308,Foremans Reservoir-Castle Creek
170501030309,Catherine Creek-Castle Creek
170501030404,Fossil Creek
170501030405,Big Foot Bar-Snake River
170501030406,Big Foot Butte-Snake River
170501030407,Upper Sinker Creek
170501030408,Lower Sinker Creek
170501030409,Swan Falls Dam-Snake River
170501030501,Halveson Lake-Snake River
170501030502,Coyote Butte
170501030503,Jensen Lake
170501030504,Upper Rabbit Creek
170501030505,Lower Rabbit Creek
170501030506,Scorpion Creek
170501030507,Wright Island-Snake River
170501030601,Upper Reynolds Creek
170501030602,Middle Reynolds Creek
170501030603,Wilson Creek
170501030604,Lower Reynolds Creek
170501030701,Hardtrigger Creek
170501030702,Upper Squaw Creek
170501030703,Lower Squaw Creek
170501030704,Cottontail Island-Snake River
170501030801,Headwaters Succor Creek
170501220705,Sheep Gulch-Big Willow Creek
170501220706,Stone Quarry Gulch-Big Willow Creek
170501220805,Alkali Creek-Little Willow Creek
170501220806,Rock Quarry Gulch-Little Willow Creek
170501220901,Bissel Creek
170501220902,Sand Hollow
170501220903,Sevenmile Slough-Payette River
170501220904,Big Willow Creek-Payette River
170501220905,Forty-nine Slough-Payette River
170501070108,Lower West Little Owyhee River
170501070201,Upper Antelope Creek
170501070202,Upper Pole Creek
170501070203,Field Creek
170702010502,Deardorff Creek
170702010503,Reynolds Creek
170702010504,Isham Creek-John Day River
170702010505,Dads Creek-John Day River
170702010601,Strawberry Creek-John Day River
170702010602,Dixie Creek
170702010603,Bear Creek
170702010604,Shaw Gulch-John Day River
170702010605,Indian Creek
170702010606,Castle Creek-John Day River
170702010607,Grub Creek
170702010608,Dog Creek-John Day River
170702010701,Upper Canyon Creek
170702010702,East Fork Canyon Creek
170702010703,Middle Canyon Creek
170702010704,Lower Canyon Creek
170702010801,Upper Beech Creek
170702010802,East Fork Beech Creek
170702010803,Lower Beech Creek
170702010901,Laycock Creek
170702010902,Luce Creek-John Day River
170702010903,Riley Creek
170702010904,Clark Creek-John Day River
170702010905,Birch Creek
170702010906,Dry Creek-John Day River
170702011001,Warrens Creek-John Day River
170702011002,Fields Creek
170702011003,Belshaw Creek
170702011004,Widows Creek-John Day River
170702011005,Cummings Creek
170702011006,Bridge Creek-John Day River
170501080805,Boney Canyon-Jordan Creek
170501090101,Bowden Hills
170501090102,Big Bend Reservoir
170501090103,Three Man Butte Well
170501090104,Bad News Reservoir
170501090105,Black Hills
170501090106,Pothole Springs
170501090201,Upper Wildcat Creek
170501090202,Grassy Ridge
170501090203,Lower Wildcat Creek
170501090204,Bone Creek
170501090301,Upper Rattlesnake Creek
170501090302,Middle Rattlesnake Creek
170501090303,Tree Spring
170501090304,Battle Creek
170501031003,Lower Jump Creek
170501031004,Lizard Butte-Snake River
170501031005,A Line Canal-Snake River
170501040401,Bull Basin-Blue Creek
170501040402,Monsterio Ranch-Blue Creek
170501040403,Blue Creek Reservoir-Blue Creek
170501040501,Little Blue Creek
170501040502,Headwaters Shoofly Creek
170501040503,Harris Creek
170501040504,Shoofly Creek
170501040505,Flying H Ranch-Blue Creek
170501040601,Payne Creek-Blue Creek
170501040602,Indian Creek
170501040603,Bell Creek
170501040703,Rough Lake
170501040704,Ross Slough
170501040802,Lower Juniper Creek
170501040901,Headwaters Battle Creek
170501040902,Dry Creek
170501040903,Rock Creek-Battle Creek
170501040904,Big Springs Creek
170501040905,Lost Valley-Battle Creek
170501041001,Rim Rock Reservoir-Battle Creek
170501041002,Battle Creek Lakes
170501041003,Cottonwood Draw-Battle Creek
170501041004,Freshwater Draw-Battle Creek
170501041101,North Lookout Reservoir
170501041102,Upper Piute Creek Reservoir-Piute Creek
170501041103,Clay Bottom Reservoir-Piute Creek
170501041201,Antelope Spring
170501041202,Holdup Canyon-Owyhee River
170501041203,Yatahoney Creek
170501041204,The Tules-Owyhee River
170501041205,White Rock Reservoir-Owyhee River
170501041301,Hurry Back Creek
170501041302,Nip and Tuck Creek
170501041303,Stoneman Creek
170501041304,Nickel Creek
170501041305,Jackass Creek-Deep Creek
